case_id,case_001,case_002,case_003,case_004,case_005,case_006,case_007,case_008,case_009,case_010,case_011,case_012,case_013,case_014,case_015,case_016,case_017,case_018,case_019,case_020,case_021,case_022,case_023,case_024,case_025,case_026,case_027,case_028,case_029,case_030
case_014,0.05687104569954334,0.055026375192343255,0.06340039755082971,0.07025933966406593,0.04317944561684494,0.04227143208811723,0.030040189498343074,0.0486167847122997,0.07909674385751478,0.04580927437399427,0.058213688782148804,0.06991192165804597,0.0561028385008648,0.9999999999999987,0.04627043828103684,0.05804715597142533,0.06753000878519515,0.08052619401502042,0.09055869859277907,0.043909083121586444,0.06238055013997697,0.04500496072547436,0.0646653873561116,0.05234073460305296,0.07051964450834303,0.09623927660718454,0.041253089527245955,0.02415609797861831,0.056045640542252965,0.05309920173070552
case_015,0.05697775783851884,0.04425581639957651,0.052055987875384166,0.03822067520584971,0.04538834349133901,0.045759569750411205,0.047265232837717205,0.029002404486455004,0.03822112141495781,0.09048408396879663,0.04215646608471845,0.04561425657331193,0.07106470101287911,0.04627043828103684,1.000000000000001,0.11464625386582589,0.048354083494513936,0.05300426695300509,0.06160833304427336,0.059365092514579644,0.06051273539048668,0.061852229710285894,0.05793494691514437,0.029438916005321475,0.04084986616252564,0.043831770289176376,0.04639069903531117,0.03465096185945492,0.031157845975431333,0.04845595620148941
case_016,0.05043424338516519,0.058470688102812654,0.05939939996497642,0.05986137530090084,0.058763496926378334,0.08543967342492795,0.046775096034377565,0.04518402447679882,0.08587169243929893,0.06876088025985443,0.04835808304291565,0.054383758083139715,0.032126792023485375,0.05804715597142533,0.11464625386582589,1.000000000000007,0.0604300403879984,0.07963404070111832,0.06946738301431747,0.08102067234615878,0.061557834116022565,0.052082106644649365,0.06932678421268772,0.052668752793978126,0.05640259197321232,0.08729588630302347,0.0727886882770378,0.07920899781929747,0.04825464716916195,0.04287697758743941
case_017,0.06010833186351889,0.05812737292950322,0.03702101944185411,0.060977226102531056,0.0545724390146442,0.05161148521339925,0.04500480077435396,0.05492810820086807,0.0575979643634978,0.048885660393951244,0.10151447963773692,0.0688000590351941,0.06741848148867963,0.06753000878519515,0.048354083494513936,0.0604300403879984,1.0000000000000002,0.060623827018674484,0.07382721681220035,0.09987296326945849,0.07361672728769497,0.0553082008243712,0.06170592279953698,0.05501136854994987,0.04605272703631173,0.036418747887005415,0.04539394939931447,0.024285119833595256,0.028071429575468095,0.04405800061385876
case_018,0.06893782168111222,0.05055793193740734,0.06302767904202884,0.04016269044654923,0.06536042255632525,0.04037557138324279,0.04044487630392689,0.050146229119845155,0.05158066926963429,0.05714584109674066,0.054132055833310606,0.06228838634040564,0.06672701086380889,0.08052619401502042,0.05300426695300509,0.07963404070111832,0.060623827018674484,1.000000000000001,0.0669322742989105,0.08116049923582523,0.1661627688993159,0.040115731476877525,0.06083117011973875,0.032576163196438634,0.05887270365584047,0.055682867450348374,0.064199894137694,0.053713674011865886,0.02472722002782443,0.03793086477580983
case_019,0.08106554095878538,0.12004153195404618,0.07964912853705164,0.056859809658000006,0.056719695906610794,0.05259786973413193,0.05145251443574869,0.04702031942691698,0.07415729946077855,0.07441283461029055,0.04824129668154577,0.06253712092652229,0.06777691343562499,0.09055869859277907,0.06160833304427336,0.06946738301431747,0.07382721681220035,0.0669322742989105,1.0,0.07777788171534983,0.0721333353490294,0.04960593586498779,0.07928035576009689,0.047584506211404545,0.07090442485145708,0.08126383688968057,0.0796229165711858,0.05666366229026866,0.03487098867040512,0.05062699131244596
case_020,0.04187691328493595,0.059656810794872166,0.05336077749812821,0.042061530566452544,0.032481073254122875,0.043075901948961756,0.05913963268166972,0.03446952651040518,0.044451929930619825,0.03936753932375488,0.0626950423328844,0.07022012587999163,0.07061761628529209,0.043909083121586444,0.059365092514579644,0.08102067234615878,0.09987296326945849,0.08116049923582523,0.07777788171534983,1.0000000000000056,0.07157901551767237,0.06085877676997148,0.041296610850865334,0.03566827310707899,0.046932118213253236,0.05404455966846571,0.06933352623452918,0.07024898569505256,0.044104909530450515,0.046485262368622986
case_021,0.07240804430015761,0.07560880971498823,0.08501362192090722,0.03713288146601406,0.07437291189909175,0.04971222575009892,0.06506252611215461,0.055546300988719224,0.044206537754132934,0.06888369391862102,0.060227301146022455,0.07390118705817925,0.061222827656716314,0.06238055013997697,0.06051273539048668,0.061557834116022565,0.07361672728769497,0.1661627688993159,0.0721333353490294,0.07157901551767237,0.9999999999999997,0.0549413676079121,0.06241833070793256,0.0524625803300039,0.04828399765571873,0.057494532233553816,0.0988520887914501,0.06597984338487177,0.03587447191647489,0.03540564824030759
case_022,0.05402140830851758,0.052872446515513684,0.06994686208417991,0.05644908509498786,0.054316518409656386,0.05036761885122808,0.14868533256154,0.05475440110808325,0.0699543716077314,0.06688786437441635,0.04557059898256562,0.06764107675537166,0.1084025297787572,0.04500496072547436,0.061852229710285894,0.052082106644649365,0.0553082008243712,0.040115731476877525,0.04960593586498779,0.06085877676997148,0.0549413676079121,0.9999999999999996,0.07584012770487104,0.07009265505531134,0.033612507945883094,0.0499407496352178,0.08072563717301516,0.04643464141867287,0.08062331101960117,0.07951973733518632
case_023,0.11714753692905308,0.051637011669961486,0.09059803149941557,0.05496411324854648,0.057795209201462056,0.07543664332696319,0.04928683042510908,0.05075382223824851,0.07603958449086339,0.07617126849628794,0.055878252944780535,0.06604897728972028,0.05475827805436026,0.0646653873561116,0.05793494691514437,0.06932678421268772,0.06170592279953698,0.06083117011973875,0.07928035576009689,0.041296610850865334,0.06241833070793256,0.07584012770487104,1.0000000000000004,0.053181737415426755,0.03806685192734445,0.03824144032379744,0.06202332857355175,0.05298947788355628,0.032493676728385865,0.04235974395740392
